id,start_pos,end_pos,surface,kb,kb_id

bugiardini:638,150,159,S. Cosimo,,

bugiardini:638,161,171,S. Damiano,,

bugiardini:638,173,181,S. Peter,,

bugiardini:638,187,194,S. Paul,,

bugiardini:639,57,198,"an altar-piece that was to be placed on his altar in S. Maria Novella, Giuliano began to paint in it the Martyrdom of S. Catharine the Virgin",,

bugiardini:640,54,272,"a copy of the picture in which Raffaello da Urbino had formerly painted portraits of Pope Leo, Cardinal Giulio de' Medici, and Cardinal de' Rossi; but in place of Cardinal de' Rossi he painted the head of Cardinal Cibo",,

bugiardini:640,68,199,"picture in which Raffaello da Urbino had formerly painted portraits of Pope Leo, Cardinal Giulio de' Medici, and Cardinal de' Rossi",,

